Bezbariérový byt,Celková plocha,Celková plocha nebytových prostor,Cena,Charakter okolní zástavby,Další nebytové prostory,Dispozice,Doprava,Druh objektu,Druh pozemku,Druh prostor,Dílny a provozovny,Elektřina,Energetická náročnost budovy,GPS coordinates,Garáž,Images,Inženýrské sítě,K nastěhování,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Občanská vybavenost,Odpad,Ostatní rozvody,Plocha kanceláří,Plocha parcely,Plocha skladů,Plocha zahrady,Plyn,Podlahová plocha,Poloha objektu,Poznámka k ceně,Počet parkovacích míst,Počet podlaží pod zemí,Počet podlaží v objektu,Property Description,Property Name,Rok výstavby,Stav objektu,Telekomunikace,Topení,Typ domu,Typ nemovitosti,URL,Umístění objektu,Umístění v chráněných lokalitách,Upozornění,Užitná plocha,Vlastnictví,Voda,Vybaveno,Výtah,Zastavěná plocha,id,listing_hash,Číslo podlaží,Číslo zakázky
,,,"10 500 000
																		CZK/ za nemovitost",,,,"Vlak, Silnice, Autobus",Smíšená,,,,230 V,G,"50°19'05.3""N,12°43'33.5""E",,N/A,,30. 5. 2025,,,Kanalizace,,,725 m²,,,Plynovod,,Samostatný,,,,2,"Představte si místo, kde každý kout vypráví příběh o péči, lásce a poctivé práci. Právě takový je tento nádherný rodinný dům v klidné části města Nejdek, který prošel kompletní a náročnou rekonstrukcí, jež mu vdechla nový život. Výsledkem je domov, který nabízí komfort, prostor a klid – ideální prostředí pro rodinné zázemí i chvíle relaxace.Dům je patrový a promyšleně rozdělený na dvě části. V přízemí se nachází prostorný a světlem zalitý obývací pokoj, propojený s moderní kuchyní vybavenou vestavěnými spotřebiči – radost tu vařit i trávit čas s rodinou. Z obýváku se plynule vstupuje do zimní zahrady, která poskytuje útočiště v každém ročním období. Dále zde najdete ložnici s vlastní šatnou, koupelnu, samostatné WC, útulnou předsíň i praktickou prádelnu.Horní patro nabízí další tři samostatné pokoje – ideální pro děti, pracovnu či pokoj pro hosty. Každý má své kouzlo a dostatek soukromí.Co ale tento dům posouvá ještě o úroveň výš, je jeho vybavení moderními technologiemi. Díky solárním panelům, infratepelným panelům a tepelnému čerpadlu se stává energeticky úsporným a šetrným k přírodě – chytré řešení, které uleví jak přírodě, tak vaší peněžence.A teď to nejlepší – zahrada. Na ploše 725 m² najdete malý ráj. Pečlivě udržovaná, osázená okrasnými rostlinami a skalkami, jako stvořená pro letní večery i nedělní kávu. Velký krytý bazén nabídne osvěžení v horkých dnech, zatímco altán s letní kuchyní a kamenným krbem se stane středobodem každé oslavy. K tomu praktický zahradní domek na vše potřebné.Tento dům není jen nemovitost – je to bezpečný přístav, místo, kde budete chtít zůstat. A třeba i zapustit kořeny.","Prodej domu 144 m², Nejdek(ID 294-NP01521)",,Velmi dobrý,Internet,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415610/prodej-domu-144-m2-nejdek,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,144 m²,,Dálkový rozvod,,,133 m²,415610,6fbc8afd2585445c5e34b2e7f84978fde40b5a35e9acd5cf97965c105b164cde,,ID 294-NP01521
,,,"5 790 000
																		CZK/ za nemovitost",Venkovská,,,"Dálnice, Silnice, Autobus",Smíšená,,,,"230 V, 400 V",G,"50°07'07.5""N,15°34'22.5""E",,N/A,,30. 5. 2025,,,Kanalizace,,,3 470 m²,,3 270 m²,Plynovod,,Samostatný,včetně realitních služeb,,,1,"Prodej rodinného domu a stavebních pozemků. Rodinný dům je v původním stavu, je určen ke kompletní rekonstrukci. Pozemky je možné rozdělit na tři stavební pozemky. Nemovitosti se nachází v centru obce, v klidné části a je možné je koupit (zarezervovat) i zvlášť.Inženýrské sítě: RD je napojený na el., plyn, odpad, zbývající dva pozemky jsou připojeny na el., (voda, plyn, kanalizace jsou v dosahu). Na budovu (stodola) je již vypracovaný a schválený demoliční výměr. Obec Voleč se nachází na výborném strategickém místě. 3,5 km od dálnice D 11, (Prah – Černý Most 70 km), (Hradec Králové 25 km), (Rohovládova Bělá 2 km – škola 1.-9.tř. školka atd.), (Lázně Bohdaneč 9 km), (Pardubice 20 km).","Prodej domu 160 m², Voleč(ID 297-NP00243)",,Před rekonstrukcí,,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415654/prodej-domu-160-m2-volec,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,160 m²,,,,,200 m²,415654,52cd7d310b8f1d823814e7007d85d6f5f229d742a2c33bf1186bfb3fe0ed00d7,,ID 297-NP00243
,,,"2 800 000
																		CZK/ za nemovitost",Obytná,,,,Smíšená,,,,,G,,,N/A,,,,,Septik,,,197 m²,,,Plynovod,,Řadový,,,,1,"Rodinný dům s dispozicí 3+1, půda vhodná k vestavbě. V místě veškerá občanská vybavenost (obchody, škola, školka, restaurace, lékař, sportoviště, vlakové a autobusové spojení). V okolí krásná krajina s množstvím rybníků a lesů. Praha 82 km, Blatná 10 km, Březnice  10 km, Strakonice 33 km.","Prodej domu 82 m², Bělčice(ID 205-NP11557)",,Velmi dobrý,,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415662/prodej-domu-82-m2-belcice,Centrum obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,82 m²,,Dálkový rozvod,,,105 m²,415662,31ca652485d2919712f0b1fb0e8a262aeaaaff114d14ca55c912d8e2fbd87e3c,,ID 205-NP11557
,,,"6 592 000
																		CZK/ za nemovitost",,,2+kk,,Cihlová,,,,,G,"50°02'58.1""N,14°26'42.9""E",,N/A,,30. 5. 2025,,,,,,,,,,52 m²,,,,,5,"Bytová jednotka č. 43 ve 4. podlaží domu má praktickou dispozici 2+kk a podlahovou plochu 40.1 m². Orientovaná je na jih do ulice. Součástí bytu je velkorysá terasa 9,3 m² a vlastní sklepní kóje. Všichni obyvatelé domu mohou navíc využívat rozlehlou společnou zahradu lemovanou vzrostlými stromy, která díky tomu nabízí dostatek soukromí. Bytová jednotka ve stavu před rekonstrukcí nabízí příležitost vytvořit si bydlení ve vlastním stylu, anebo ideální investiční byt.Pro prohlídku nebo dotazy mně kdykoliv kontaktujte.","Prodej bytu 2+kk v osobním vlastnictví 52 m², Praha 4 - Michle(ID 175-NP01507)",,Velmi dobrý,,,,Byty,https://www.remax-czech.cz/reality/detail/415605/prodej-bytu-2-kk-v-osobnim-vlastnictvi-52-m2-praha-4-michle,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,40 m²,Osobní,,,,97 m²,415605,135f22878a97926f76e75751fc06d4a65cc68260e5e5224c5e3d887f9aedc52c,4,ID 175-NP01507
,,,"4 290 000
																		CZK/ za nemovitost",,,2+1,,Panelová,,,,,C,"50°05'13""N,14°07'43""E",,N/A,,,,,Kanalizace,,,,,,Plynovod,52 m²,,,,,5,"Exkluzivně nabízím k prodeji byt 2+1 v obci Unhošť – Komenského 725. Tento velmi pěkně řešený byt o celkové rozloze 52 m² se nachází v 1. patře zatepleného panelového domu bez výtahu.Byt je v dobrém stavu. Součástí bytu je kuchyňská linka, která je vybavena elektrickým sporákem s troubou, digestoří, mikrovlnnou troubou a lednicí. Byt nabízí prostorný obývací pokoj s dostatkem denního světla. V obytných místnostech jsou parkety pokryté kobercem, v chodbě a kuchyni je linoleum, v koupelně je dlažba. Koupelna má zděné jádro s vanou. K bytu náleží sklep o rozloze 2 m². Vytápění bytu a ohřev vody je centrální domovní. Byt má plastová okna a je k dispozici ihned. Parkování je možné v těsné blízkosti domu.Unhošť je pro svou polohu velmi žádanou lokalitou - leží 10 km od Kladna a pouhých 15 km od Prahy. Bytový dům se nachází v centru města Unhošť. V okolí domu naleznete mateřské a základní školy, zdravotnická zařízení, poštu. Je zde také široká nabídka obchodů a restaurací. Pro volný čas je zde k dispozici sportovní areál, kulturní zařízení včetně muzea, dětská hřiště, parky. Lokalita nabízí dostatek zeleně, na své si přijdou také milovníci cyklistiky, in-line bruslení či turistiky.Unhošť má vynikající dopravní spojení. Autem se na okraj Prahy dostanete za 15–20 minut. Autobusové spojení zajišťuje rychlý přístup do Prahy.Domluvte si prohlídku ještě dnes, rád Vás tímto bytem osobně provedu. S financováním Vám pomůže náš hypoteční specialista.","Prodej bytu 2+1 v osobním vlastnictví 52 m², Unhošť(ID 254-NP00794)",,Velmi dobrý,,,,Byty,https://www.remax-czech.cz/reality/detail/415581/prodej-bytu-2-1-v-osobnim-vlastnictvi-52-m2-unhost,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,52 m²,Osobní,,Ano,,,415581,20937ed7e8b7a202a66b0a29b626ab1e6775a6d828a313377a23363d0a7130cd,1,ID 254-NP00794
,390 m²,,"1 287 000
																		CZK/ za nemovitost",,,,,,Pro bydlení,,,,,"50°01'49""N,15°10'31.1""E",,N/A,Vodovod,,,,,,,,,,,,,Cena včetně provize a právních služeb,,,,"Nabízíme k prodeji pozemek o výměře 390 m² nacházející se v klidné a vyhledávané lokalitě Kolín – U Vodárny. Pozemek je mírně svažitý a jeho součástí je částečně podsklepená dřevěná chatka se zastavěnou plochou cca 8 m², která může sloužit jako zázemí pro rekreaci, odpočinek nebo uskladnění zahradního náčiní.Na pozemku je zavedena sezónní vodovodní přípojka (v provozu od jara do podzimu). Elektřina je přivedena na hranici pozemku.Dle platného územního plánu spadá pozemek do zóny B2 – městské bydlení. V současnosti je ideální pro rekreační využití, zahradničení či relaxaci v příjemném prostředí.Výhodou je výborná dostupnost do centra Kolína i blízkost přírody, která nabízí klidné prostředí pro volnočasové aktivity.V případě zájmu o více informací nebo sjednání prohlídky mě neváhejte kontaktovat.","Prodej pozemku 390 m², Kolín(ID 059-NP07534)",,,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415574/prodej-pozemku-390-m2-kolin,Okraj obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415574,d56a1a869c79215dcf6a183a30fad136ba5da5351364e06790713c694a3183f8,,ID 059-NP07534
,,,"30 000 000
																		CZK/ za nemovitost",,,,,Cihlová,,,,,G,"49°54'55.6""N,14°24'53.3""E",,N/A,,,,,,,,336 m²,,,,,Samostatný,,,,3,"Jedinečná příležitost – prodej exkluzivního projektu včetně stavebního povolení na luxusní vilu o užitné ploše 765 m² v obci Březová-OleškoNabízíme k prodeji stavební pozemek o celkové ploše 4.997 m² s již vypracovaným projektem a vydaným stavebním povolením na nadstandardní třípodlažní rodinný dům. Pozemek se nachází na konci zástavby v klidné části obce Březová-Oleško, nedaleko Vraného nad Vltavou (okres Praha-Západ), a poskytuje maximální soukromí i výjimečné zázemí pro rodinné bydlení.Projekt zahrnuje moderní vilu s užitnou plochou cca 765 m² a dispozicí 7+kk, doplněnou o wellness zónu, vnitřní bazén, vinotéku a garáž pro dvě vozidla. Dům je rozdělen do tří podlaží a nabídne nejen velkorysé obytné prostory, ale i technické zázemí, relaxační části a tři venkovní terasy o celkové výměře přes 80 m². Kvalitní architektonické řešení je připravené pro okamžité zahájení stavby – dokumentace a vizualizace jsou k dispozici na vyžádání.Pozemek je napojen na elektřinu a obecní vodovod, k dispozici jsou i dvě vlastní studny. Obec plánuje v blízké době vybudovat kanalizaci. Na pozemku se nachází původní stavba, kterou lze dočasně využít během výstavby.Lokalita je ideální pro rodinný život v přírodě s výbornou dostupností do Prahy (cca 30 minut autem nebo MHD na metro C – Kačerov). Vlaková stanice ve Vraném nad Vltavou nabízí rychlé spojení na Smíchovské nádraží během 15 minut. V obcích Zvole a Vrané nad Vltavou naleznete kompletní občanskou vybavenost včetně školek, obchodů a restaurací.Pozemek je dle územního plánu určen k výstavbě rodinných domů a nabízí i možnosti pro podnikání – drobný maloobchod, nerušící řemesla nebo rekreační ubytování do 15 lůžek. Maximální zastavěnost pozemku činí 20 % (dům + garáž), dalších 10 % je určeno pro zpevněné plochy. Zeleň musí tvořit alespoň 70 % plochy pozemku. Výškové omezení: max. 2 nadzemní podlaží, výška hřebene do 9 m.Tato nabídka je vhodná pro ty, kteří hledají kombinaci investiční příležitosti a unikátního projektu ve výjimečné lokalitě.Neváhejte nás kontaktovat pro více informací, zaslání dokumentace nebo sjednání osobní schůzky.","Prodej domu 765 m², Březová-Oleško(ID 262-NP00512)",,Projekt,,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415485/prodej-domu-765-m2-brezova-olesko,Centrum obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,765 m²,,Dálkový rozvod,,,,415485,f60451850f54d5cfab1f7a17e81373881b5e2cae937225df10cc050a39ef23f7,,ID 262-NP00512
,,,"18 590 000
																		CZK/ za nemovitost",Obytná,,4+kk,MHD,Smíšená,,,,230 V,B,"50°03'56.3""N,14°23'30.4""E",Ano,N/A,,,,,Kanalizace,,,,,,Plynovod,130 m²,,včetně provize a pravniho servisu,,1,4,"Nabízím k prodeji luxusní nemovitost v Rezidenci Park Nikolajka Praha 5, Smíchov. Byt má dispozici 4+kk, rozlohu 111 m2 + 12 m2 lodžie + dvě parkovací stání v podzemí garáži a sklep 7,2 m2. Díky unikátní poloze na konci slepé ulice U Nikolajky jde o mimořádně klidné místo v zeleni. Lokalita ve svahu nad centrem Prahy poskytuje nádherné výhledy na město a dlouhodobě platí za velmi prestižní a vyhledávanou rezidenční adresu. Byt se skládá ze tří ložnic, obývacího pokoje, propojeného s jídelním prostorem a kuchyňskou linkou, šatny, samostatné toalety a ze dvou koupelen. Jedna koupelna je s hydromasážní vanou, ve druhé je sprchový kout a další toaleta. Na terasu je vstup z obývacího pokoje i z vedlejší ložnice a je orientovaná na jihozápad.Smíchov nabízí velmi příjemné bydlení, perfektní občanskou vybavenost a spoustu možností, jak trávit volný čas. K relaxaci, sportu a procházkám je možné využít například park Santoška na severním svahu Pavího vrchu, který se vypíná hned za domem, sportovní centrum Radlická (tenis, fotbal, squash, badminton, plavecký bazén), zimní stadion Nikolajka, Holmes Place Anděl a Smíchov, v Erpet GR golf, squash, tenis, volejbal, relax centrum) a mnoho dalších. Mnohé jistě také potěší nedaleké nábřeží Vltavy a převoz na druhý břeh k Žlutým lázním.","Prodej bytu 4+kk v osobním vlastnictví 130 m², Praha 5 - Smíchov(ID 315-NP00051)",,Velmi dobrý,,,,Byty,https://www.remax-czech.cz/reality/detail/415520/prodej-bytu-4-kk-v-osobnim-vlastnictvi-130-m2-praha-5-smichov,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,111 m²,Osobní,Dálkový rozvod,,Ano,,415520,0421b2da60f726af06d47ac8a7e34134f412d98eaa14384e246070cd783bb5be,2,ID 315-NP00051
,,,"19 300 000
																		CZK/ za nemovitost",,,,"Silnice, MHD, Autobus",Smíšená,,,,,G,"50°07'32.9""N,14°22'08.6""E",,N/A,,29. 5. 2025,,,Kanalizace,,,862 m²,,699 m²,Plynovod,,Řadový,,,,2,"Nabízím k prodeji vícegenerační rodinný dům v původním stavu v malebné lokalitě Lysolajích, přímo u revitalizovaného Lysolajského biotopu, který nabízí celoroční možnost koupání – v létě příjemné osvěžení, v zimě ideální podmínky pro otužování.Základní informaceTyp nemovitosti: Vícegenerační rodinný dům v původním stavuCelková plocha domu: 195,5 m²Zastavěná plocha: 163 m²Velikost pozemku: 862 m²Počet bytových jednotek: 3Přístup: Dvě strany – od biotopu a z ulice Lysolajské údolíSpodní patro domu:Byt 3+1 (86,5 m²) – Po vstupu do domu se nachází chodba, z níž je přístup do koupelny, samostatného WC a k plynovému kotli. Dále se vchází do samostatné kuchyně, která je průchozí do tří dalších pokojů.Byt 1+1 (30 m²) – Z hlavní chodby se vstupuje do obytné místnosti s přípravou na kuchyňský kout, nachází se zde také malá špajzka. Z této místnosti se následně vstupuje do ložnice.Horní patro:Byt 3+1 (79 m²) – Byt po částečné rekonstrukci. Z hlavního schodiště se vstupuje do chodby, odkud je přístup do kuchyně, samostatného pokoje, obývacího pokoje, z něhož se dále vstupuje do ložnice a koupelny. Z horního patra je vstup na prostornou půdu, která nabízí možnost vybudování další bytové jednotky.Lokalita a okolíLysolaje jsou klidnou městskou částí na severozápadním okraji Prahy, která nabízí:Šárecké údolíLysolajský biotop – přírodní jezírko s čistou vodou, ideální pro koupání a relaxaciPřírodní památka Housle – skalnatá rokle s naučnou stezkou, zázračná studánkaPřírodní park Šárka – Lysolaje – rozsáhlá přírodní oblast vhodná pro pěší a cyklistické výletyZákladní a mateřská školaDětské hřiště, sportovní areál LysolajeSportovní areál ČZUDostupnost:10 minut MHD na metro Dejvická a Bořislavka10 minut automobilem na Prahu 6 - metro Veleslavín, BořislavkaVlakové spojení z nedaleké stanice Praha-SedlecSnadný přístup na Pražský okruh a letiště Václava HavlaTechnické vybaveníStudna: Vlastní studna na pozemkuVytápění: Přiveden plyn (zdroj vytápění)Teplá voda: Elektrický bojlerCena: 19 300 000 Kč – včetně všech poplatků a kompletního právního servisu.Pro více informací a domluvení prohlídky mně neváhejte kontaktovat a budu se na Vás těšit.","Prodej domu 196 m², Praha 6 - Lysolaje(ID 218-NP06486)",,Před rekonstrukcí,,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415519/prodej-domu-196-m2-praha-6-lysolaje,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,196 m²,,Dálkový rozvod,,,163 m²,415519,3578ee75c592746f6cc1fafe7360e64132b74ba01c8ed63024536b0c66c3ddbf,,ID 218-NP06486
Ano,230 m²,180 m²,"6 950 000
																		CZK/ za nemovitost",Obytná,180 m²,,"Silnice, Autobus",Cihlová,,,180 m²,"230 V, 400 V",G,,Ano,N/A,,9. 1. 2025,,,Kanalizace,,,1 333 m²,180 m²,12 397 m²,,,Samostatný,"Vybavený dům, vč. provize a právních služeb",,,2,"Nabízíme kompletně vybavenou chalupu o užitné ploše cca 230m² + hospodářské budovy cca 180m² na rozlehlé zahradě 1 333m² v krásné oblasti Křivoklátsko - vybavený dům s krásnou stodolou a velkou zahradou. Tato nemovitost se nachází v malebné obci Nezabudice nad Berounkou, pouhých 6km od Křivoklátu a 17km od města Rakovník, cesta do Prahy trvá jen 50 min. Okolí je známo svojí nedotčenou přírodou, hlubokými lesy a malebným údolím řeky Berounky.Dům byl postaven v r. 35 dle plánu architekta Snobla a nabízí řadu možností využití. Disponuje obývacím pokojem, kuchyní, pokojem, příjemnou společenskou místností a koupelnou v přízemí, v podkroví jsou 2 velké pokoje, druhá kuchyně a mnoho úložných prostor. K domu, který je možno využít jako dvougenerační, náleží také obrovský sklep.Hospodářské budovy ve skvělém stavu nabízejí další možnosti využití, například jako stáje pro koně nebo jako dílny pro řemeslníky, umělecký ateliér, adaptaci na krytý bazén, společenskou budovu atd. Součástí stodoly je další opravdu velký sklep, zahradní kuchyně s udírnou na kterou navazuje terasa s pergolou.Tato nemovitost je ideální pro rodiny hledající klidné bydlení v přírodě, ale také pro ty, kteří hledají možnosti pro rekreaci a turistiku. V okolí se nachází mnoho turistických tras a cyklostezek.Lokalita je také známá díky nedalekému legendárnímu Hostinci u Rozvědčíka, který otevřel v roce 1934 rodák z blízkých Nezabudic, Jaroslav Franěk, který byl za první světové války rozvědčíkem. Hostinec se stal kultovním místem trampů a turistů a byl také zmíněn v některých povídkách Otty Pavla. Romantika a kouzlo těchto míst se staly námětem jak známých literárních děl, tak i několika filmů.Více fotografií a dispozice s rozměry zašleme na vyžádání.Přijďte na nezávaznou prohlídku nemovitosti, krásného okolí a domluvení si ceny a financování dle Vašich možností. Po dohodě kdykoliv.","Prodej chaty / chalupy 230 m², Nezabudice(ID 256-NP00667)",,Velmi dobrý,,,Patrový,Chaty a rekreační objekty,https://www.remax-czech.cz/reality/detail/415524/prodej-chaty-chalupy-230-m2-nezabudice,Centrum obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,230 m²,,Zdroj pro celý objekt,Ano,,129 m²,415524,ddcee9e1472b006572b66b278c05cb4ab534bc330dd35f91814ecbd5996e3d64,,ID 256-NP00667
Ano,482 m²,,"3 500 000
																		CZK/ za nemovitost",Venkovská,,,,Cihlová,,Obchodní,,230 V,G,"49°36'42.1""N,17°17'34.8""E",,N/A,,,,,Septik,,482 m²,,,,,,,,,,2,"Nabízíme Vám skvělý objekt k podnikání či k bydlení, v katastru nemovitostí veden jako jiná stavba bez č.p a bez č.e. Jedná se o zděný objekt bývalé hospodářské budovy, na které byly kompletně nově udělány krovy a nově položena pozinkovaná střecha se zateplením – foukanou pěnou. Objekt je se sedlovou střechou, je dostatečně rozložitý, vnitřními příčkami rozdělen do tří samostatných prostor, které je možné po úpravě uzavřít či propojit dveřmi. Maximální využití objektu umožňuje i prostor pod sedlovou střechou, k níž vede nově zhotovené samonosné kovové schodiště. Na tomto patře je zhotovená nová prkenná podlaha. Celý podkrovní prostor je otevřený a vhodný k dalšímu standartnímu využití, neboť má dostatečnou výšku i na vestavbu kanceláří, ale i bydlení. Objekt je připojen k elektrické energii a má vlastní zdroj vody – studnu. Pozemek s objektem je veliký 482 m2 a je v katastru nemovitosti veden jako zastavěná plocha a nádvoří. K objektu vede po samostatném parcelním čísle účelová komunikace o velikosti 338 m2, ke které v rámci kupní ceny bude kupující podílovým spoluvlastníkem ve výši 1/3. V případě zájmu by bylo možné přikoupit ještě další sousedící pozemek o velikosti 988 m2 vedený v katastru nemovitosti jako zahrada, na kterém je nově založen ovocný sad. Objekt je možné využít k vlastní podnikatelské činnosti – zřídit si zde podnikatelské sídlo, kanceláře, využít prostor ke skladování apod. V územním plánu statutárního města Olomouc jsou tyto pozemky vedeny jako plochy smíšené obytné, takže by neměl být problém získat stavební povolení na stavbu RD či jiného objektu, např. k podnikání. Nabízí se zde možnost rekonstruovat objekt i na jiný typ využití – např. na bydlení či ubytovací zařízení pro zaměstnance, aj. Lokalita je velmi přívětivá k bydlení, ale i k podnikání, je zde klid, ale dosah a vymoženosti veškeré infrastruktury velkoměsta. Nedaleko je zastávka MHD, hřiště, fitness, školka, hasičská zbrojnice a aktivity místních dobrovolných hasičů, cyklostezka, restaurace, obchody, nemocnice, Svatý kopeček…. Pokud budete mít zájem, tak mě neváhejte kontaktovat k prohlídce či dalším podrobnostem.","Prodej obchodních prostor 482 m², Olomouc(ID 064-NP04055)",,Dobrý,,,Patrový,Komerční prostory,https://www.remax-czech.cz/reality/detail/415493/prodej-obchodnich-prostor-482-m2-olomouc,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,482 m²,415493,911e2133af8a8b1ad70461bbc722ffcaff1a7e5a629fda2c3083ae2f3a021061,,ID 064-NP04055
,,,"6 253 000
																		CZK/ za nemovitost",Obytná,,2+kk,"Vlak, Dálnice, Silnice, MHD, Autobus",Smíšená,,,,230 V,G,"50°02'58.2""N,14°26'51.9""E",,N/A,,1. 6. 2025,416,,Kanalizace,"Kabelová televize, Kabelové rozvody",,,,,Plynovod,52 m²,,,,1,5,"Bytová jednotka č. 22 ve 2. podlaží domu má praktickou dispozici 2+kk a podlahovou plochu 49,7 m². Orientovaná je na jih do ulice.K jednotce náleží vlastní sklepní kóje.Všichni obyvatelé domu mohou navíc využívat rozlehlou společnou zahradu lemovanou vzrostlými stromy, která díky tomu nabízí dostatek soukromí.Bytová jednotka ve stavu před rekonstrukcí nabízí příležitost vytvořit si bydlení ve vlastním stylu, anebo ideální investiční byt.Lokalita má obrovský potenciál pro spokojený život singles i mladých párů, prostřednictvím Bydlení Hanusova ho snadno naplníte. Mezi stanicemi metra Budějovická a Pankrác najdete celé spektrum restaurací, kaváren a příjemných podniků. Arkády Pankrác, OC DBK nebo ráj kutilů Bauhaus tady provází i další nákupní možnosti, provozovny služeb, zdravotnická zařízení, školy nebo sportoviště. Asi 4 kilometry dělí dům a Žluté lázně, legendární sportovně rekreační areál na břehu Vltavy s bohatým gastro zázemím.Potřebujete do centra? Skočte si na metro či autobus, zastávky Budějovická, Zelená liška i další leží nedaleko. Autem jste za pár minut na nájezdu na ulici Podolské nábřeží, chvilku to zabere také na nájezd na ulici 5. května s připojením na dálnici.Pro více informací a sjednání prohlídky mě kontaktujte ještě dnes.","Prodej bytu 2+kk v osobním vlastnictví 52 m², Praha 4 - Michle(ID 228-NP02303)",1 945,Před rekonstrukcí,"Telefon, Internet",,,Byty,https://www.remax-czech.cz/reality/detail/415511/prodej-bytu-2-kk-v-osobnim-vlastnictvi-52-m2-praha-4-michle,,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,50 m²,Osobní,Dálkový rozvod,,,,415511,75f936b5afa744bf9a938d01f39cd7cbbc6346b814b15a5dded5698ac6935d7b,2,ID 228-NP02303
,904 m²,,"7 232 000
																		CZK/ za nemovitost",,,,,,Pro bydlení,,,,,"50°09'33.4""N,14°26'01.1""E",,N/A,"Vodovod, Elektřina",,,,,,,,,,,,,,,,,"V klidné části obce Zdiby - Praha východ, katastrální území Brnky - Zlatý kopec, nabízíme k prodeji slunný stavební pozemek o velikosti 904 m². Rovinatý pozemek je situovaný v ulici Zdibská na hranici prahy a je vzdálený pouhých 10 min autem od Pražské části Kobylis Prahy 8.Pozemek umožnuje napojení na vodovodní řád a elektrickou přípojku. Dle regulativ obce, se pozemek nachází v aktuálním uzemním plánu jako bydlení v rodinných domech (městské a příměstské), (izolované, dvojdomy a řadové domy) a součástí výstavby mohou být i vestavěné garáže. Maximální koeficient zastavění činí 25% plochy pozemku a výšková hladina nové zástavby na rozvojových plochách může dosahovat maximální výšky 8m. Dle přípustných funkcích v rámci obytných objektu, lze aplikovat jako vedlejší funkce, konzultační a poradenské činnosti, privátní ordinace a ateliéry. Příjezdová cesta je v podílovém vlastnictví majitele pozemku. Obec Zdiby nabízí plnou občanskou vybavenost, plno cyklostezek, přírody, procházek a pokud by Vám něco chybělo, tak Praha je vzdálená pouhých 10 min autem. Velkou výhodou je snadná dopravní dostupnost na dálnici D8. V pěší vzdálenosti od pozemku se nachází autobusová zastávka, která Vás přiblíží do centra obce Zdiby.S financováním Vám moc rádi pomůžeme.Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.V případě jakýkoliv dotazu nebo zájmu o prohlídku, jsem Vám plně k dispozici.","Prodej pozemku 904 m², Zdiby(ID 096-NP05636)",,,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415514/prodej-pozemku-904-m2-zdiby,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415514,cc4ea9a1398fb656dde8617d4b73ea8ecc9ce2e6a9d0b99e48c8739c029b9192,,ID 096-NP05636
