Bezbariérový byt,Celková plocha,Celková plocha nebytových prostor,Cena,Charakter okolní zástavby,Další nebytové prostory,Dispozice,Doprava,Druh objektu,Druh pozemku,Druh prostor,Dílny a provozovny,Elektřina,Energetická náročnost budovy,GPS coordinates,Garáž,Images,Inženýrské sítě,K nastěhování,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Občanská vybavenost,Odpad,Ostatní rozvody,Plocha kanceláří,Plocha parcely,Plocha skladů,Plocha zahrady,Plyn,Podlahová plocha,Poloha objektu,Poznámka k ceně,Počet parkovacích míst,Počet podlaží pod zemí,Počet podlaží v objektu,Property Description,Property Name,Rok výstavby,Stav objektu,Telekomunikace,Typ domu,Typ nemovitosti,URL,Umístění objektu,Upozornění,Užitná plocha,Vlastnictví,Voda,Vybaveno,Výtah,Zastavěná plocha,id,listing_hash,Číslo podlaží,Číslo zakázky
,,,"10 900 000
																		CZK/ za nemovitost",,,,,Smíšená,,,,230 V,G,"49°27'53.5""N,17°58'52.9""E",,N/A,,,,,Kanalizace,,,168 m²,,,Plynovod,,Řadový,,,,2,"Exkluzivní rodinný dům po kompletní luxusní rekonstrukci.V jedné z nejžádanějších lokalit  v prestižní čtvrti Štěpánov, nabízíme ke koupi výjimečný rodinný dům po kompletní a nákladné rekonstrukci  dokončené v roce 2022.Vše v domě je zcela nové, pečlivě sladěné a dosud nikým nepoužité – připravené pro náročné zájemce, kteří hledají nadčasové a bezstarostné bydlení.Dispozice a atmosféraPři vstupu do domu vás přivítá velmi prostorná předsíň s vestavěnými skříněmi, která propojuje vstupní část s dalšími místnostmi.Najdeme zde velkou multifunkční místnost, která dříve sloužila jako garáž – dnes ideální jako pracovna, ložnice pro hosty nebo ateliér. V přízemí se dále nachází technická místnost a vstup do sklepních prostor.Sklepní prostory nebyly záměrně rekonstruovány – majitel zde plánoval vybudovat soukromé wellness se saunou a vířivkou, a tak ponechal novému majiteli možnost realizovat vlastní vizi relaxační zóny snů.Po vystoupání do patra vás okouzlí velkorysý a vzdušný obývací pokoj, spojený s moderní kuchyní vyrobenou na míru, která je osazena špičkovými spotřebiči značky AEG – indukční varná deska, elegantní digestoř, mikrovlnná a horkovzdušná parní trouba, vestavěná lednice a zabudovaná vakuovačka.Stylový krb umocňuje atmosféru tepla a pohodlí.Obývací pokoj je vybaven designovým LED podsvícením s možností dálkového ovládání a změny barev, což vytváří jedinečnou atmosféru podle vaší nálady.V patře dále naleznete tři samostatné pokoje – ložnici, dětský pokoj a pracovnu, ideálně uspořádané pro rodinné bydlení.Dětský pokoj zaujme zajímavým LED podsvícením, které dodává prostoru hravost a originalitu.Luxusní koupelna  Vám nabídne každodenní relax v prostředí, které působí jako domácí spa.Před domem se nachází vlastní parkovací plocha, za domem pak útulná zahrada – ideální pro ty, kdo hledají klidný venkovní prostor bez náročné údržby. Prostor postačí pro relax, grilování nebo vytvoření zeleného koutku.Lokalita je skvěle dostupná pěšky – v blízkosti najdete školy, školky, obchody i centrum města. Spojení komfortu, dostupnosti a soukromí tvoří ideální zázemí pro rodinu nebo pár, kteří touží po elegantním a pohodlném bydlení bez kompromisů.Technické informace•	Kompletní rekonstrukce  dokončená v roce 2022•	Nová fasáda, zateplení, nová okna•	Elektrické stahovací žaluzie s dálkovým ovládáním, reagující na teplotu i slunce, ovladatelné i přes mobil•	LED osvětlení s dálkovým ovládáním v hlavních obytných prostorech•	Nové podhledy a designové detaily•	Špičkové kuchyňské vybavení (AEG)•	Příprava pro domácí wellness ve sklepěTento dům nabízí kombinaci luxusu, funkčnosti a promyšleného designu v jedné z nejprestižnějších adres ve Valašském Meziříčí. Ideální pro klienty, kteří hledají komfortní a reprezentativní bydlení bez kompromisů.Neváhejte mě kontaktovat pro více informací nebo domluvení osobní prohlídky.Tento dům si zaslouží vaši pozornost.Jitka Fröhlichová, Vaše realitní makléřka pro tuto oblast.","Prodej domu 119 m², Valašské Meziříčí(ID 133-NP02424)",,Po rekonstrukci,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415525/prodej-domu-119-m2-valasske-mezirici,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,119 m²,,Dálkový rozvod,,,79 m²,415525,c4c783a73917e6a2b5a3d4ec7544571886f53c9b756d5e47cdb405a4dc503fa3,,ID 133-NP02424
Ano,,,"2 200 000
																		CZK/ za nemovitost",Obytná,,2+1,"Silnice, Autobus",Cihlová,,,,,G,"50°30'45.8""N,16°00'53.5""E",,N/A,,,,,Kanalizace,Ostatní rozvody,,,,,,49 m²,,včetně právních a realitních služeb,,,2,"Společnost RE/MAX Future si Vám dovoluje nabídnout k prodeji bytovou jednotku o dispozici 2+1, která se nachází v 1NP ze 2NP bytového domu, přímo na náměstí T.G.Masaryka v Úpici.Dispoziční řešení: 2+1 s příslušenstvím obsahuje chodbu o výměře 4.50 m2, obytnou kuchyň o výměře 16.5 m2, obývací pokoj o výměře 14 m2, pokoj o výměře 10.25 m2 a koupelnu s WC 3.60 m2.Bytová jednotka je vybavena zabudovanou kuchyňskou linkou se sporákem.  Zabudovány jsou deskové radiátory, plastová okna. Podlahová pokládka je v pokojích koberec, v kuchyni položeno lino, chodba a koupelna s WC je keramická dlažba.Topení a ohřev vody je dálkovým vytápěním (navíc je v koupelně zabudován jako rezervní bojler na ohřev teplé užitkové vody).Součástí prodeje bytové jednotky jsou dva sklepy v suterénu domu, k užívání pak oddělená kóje na půdě. Byt je v původním, udržovaném stavu, vhodný k rekonstrukci dle vlastních představ.K bytu patří část zatravněné zahrady k posezení a relaxaci.Občanská vybavenost v místě je dostupná pěší chůzí – MÚ, MŠ, ZŠ, ZUŠ, SOU, pošta, prodejny potravin a spotřebního zboží, Divadlo A. Jiráska, sportovní hala.…Autobusové spojení z Úpice možné na lince Trutnov – Náchod, resp. Česká Skalice a Úpice – Malé Svatoňovice ČD.Volné s možností okamžitého užívání, v případě zájmu o nezávaznou prohlídku nás neváhejte kontaktovat. S financováním rádi pomůžeme, konzultace zdarma.","Prodej bytu 2+1 v osobním vlastnictví 49 m², Úpice(ID 211-NP04336)",,Před rekonstrukcí,,,Byty,https://www.remax-czech.cz/reality/detail/415573/prodej-bytu-2-1-v-osobnim-vlastnictvi-49-m2-upice,Centrum obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,49 m²,Osobní,Dálkový rozvod,,,,415573,124a3956dc209066cb06cf200e6c495b74c0cc76ded367c645ad2e71e657a008,1,ID 211-NP04336
Ano,,,"8 809 000
																		CZK/ za nemovitost",,,,"Vlak, Silnice, Autobus",Cihlová,,,,,B,"50°03'12.7""N,12°59'09.4""E",,N/A,,29. 5. 2025,,,Kanalizace,,,591 m²,,,,,Samostatný,vč.všech právních služeb a provize RK,2,,,"Představujeme Vám výjimečnou příležitost ke koupi novostavby rodinného domu v klidné části města Toužim v Karlovarském kraji.Tento elegantní, moderně řešený přízemní dům  byl navržen renomovaným architektonickým ateliérem  a nabízí ideální prostor pro pohodlné rodinné bydlení i relaxaci.Dispoziční řešeníDům je navržen jako přízemní bezbariérová stavba se skvěle promyšlenou dispozicí a užitnou plochou přes 92 m².Interiér tvoří:Prostorný obývací pokoj s jídelnou a kuchyní (38,51 m²) – s přímým vstupem na terasu a možností napojení na venkovní kryté posezení.Tři ložnice/pokoje  – ideální pro rodinu, práci z domova i návštěvy.Koupelna s vanou i sprchovým koutem.Technická místnost, vstupní hala, předsíň a komora/spíž pro maximální komfort a úložné prostoryDům je postaven z kvalitního cihelného systému Porotherm s důrazem na energetickou efektivitu a dlouhou životnost.Dům zaujme atraktivním a zároveň praktickým provedením exteriéru:Kombinace cihlového páskového obkladu, tvrdého PVC s fólií, omítky a dřeva.Přirozeně větraný fasádní systém, zajišťující dlouhou životnost a minimální údržbu.Stylové kryté vstupy a dřevěné prvky podtrhující přirozený charakter stavby.Výhody domu:Nízké provozní náklady díky moderním technologiím a konstrukci - topení i ohřev vody zajišťuje tepelné čerpadlo.Ideální orientace a prosvětlenost hlavních obytných prostor.Skvělá lokalita: klidná rezidenční zástavba s výbornou dostupností služeb a přírody.Dům bude dokončený do konce roku 2025, či dle přání klienta. Pro další informace či termín prohlídky volejte makléřku","Prodej domu 93 m², Toužim(ID 071-NP04525)",,Velmi dobrý,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415550/prodej-domu-93-m2-touzim,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,93 m²,,Dálkový rozvod,,,131 m²,415550,500f465bcae7245f0ee91af7716dd7b0a025e9278e558ea3f72f63b6c035c1b6,,ID 071-NP04525
,107 m²,,"2 900 000
																		CZK/ za nemovitost",,,,,Cihlová,,,,,G,"50°14'45""N,16°24'22.8""E",,N/A,,,,,Septik,,,386 m²,,,,,Samostatný,,,,3,"Ve výhradním zastoupení společností RE/MAX Future, Vám tímto nabízíme ke koupi zděnou chatu s pozemkem o celkové výměře 386 m², nacházející se v obci Zdobnice, která je vzdálena 17 km od Rychnova nad Kněžnou.Chata byla zkolaudována v roce 1996. Disponuje třemi podlažími: v suterénu se nachází garáž a technické zázemí, přízemí tvoří hlavní obytný prostor s kuchyní, koupelna a chodba a v podkroví je útulná část určená k odpočinku a spaní.Chata je připojena k elektrické síti a využívá vodu ze společné studny, která je na sousedním pozemku. Vytápění zajišťují kamna na dřevo a odpadní vody jsou svedeny do septiku.Obec je oblíbeným cílem turistů a milovníků zimních sportů – nachází se zde menší lyžařské středisko s několika sjezdovkami a běžeckými trasami. V létě je Zdobnice ideálním výchozím bodem pro pěší turistiku, cykloturistiku nebo houbaření.Pokud máte zájem o bližší informace, neváhejte mě kontaktovat prostřednictvím e-mailu nebo telefonicky.","Prodej chaty / chalupy 107 m², Zdobnice(ID 211-NP04335)",,Dobrý,,Patrový,Chaty a rekreační objekty,https://www.remax-czech.cz/reality/detail/415545/prodej-chaty-chalupy-107-m2-zdobnice,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,107 m²,,,Ano,,51 m²,415545,50a21363b82bdc9ab65718c0fc682221d1bcfd0fe2c8d40347225e65e00c1cbc,,ID 211-NP04335
,,,"11 800 000
																		CZK/ za nemovitost",Venkovská,,,"Dálnice, Silnice, MHD",Cihlová,,,,230 V,B,"49°36'42.1""N,17°17'34.8""E",,N/A,,,,,Septik,,,694 m²,,440 m²,,,Řadový,,,,2,"Představujeme Vám mimořádnou nabídku na koupi rodinného domu, který byl nově postaven a zkolaudován v roce 2024. Dům je možné využít pro své vlastní bydlení i jako vícegenerační, ale i jako možnost jej pronajímat celý nebo částečně, takže je možné jej koupit i jako investici. Dům je dispozičně postaven tak, že v přízemí bez podsklepení je řešen jako 2+kk s venkovní terasou, s velkou koupelnou, ve které je sprchový kout i WC, a dále samostatnou komorou, kde je umístěna pračka, sušička aj. V centrální části obývacího pokoje v 1NP jsou instalována krbová kamna. Z přízemí 1NP vede vnitřní schodiště do 2NP, kde jsou vybudované 2 samostatné bytové jednotky se samostatným vstupem o velikosti 2+kk mezonetového typu. V 2NP je v každé samostatné bytové jednotce obývací pokoj s kuchyňským koutem a vnitřní schodiště do prostoru sedlové střechy, kde se nachází ložnice. Každá bytová jednotka v 2NP má rovněž svou koupelnu a WC. Výhodou takovéhoto projektu je i to, že do dvou samostatných bytových jednotek vede venkovní masivní dřevěné schodiště s pavlačí a zní dva samostatné vstupy do každé bytové jednotky zvlášť. V případě uzavření vnitřního schodiště v 1NP do 2NP není žádná z bytových jednotek rušena ostatními spolubydlícími. Dvě bytové jednotky v 2NP lze však v případě potřeby propojit jako jeden obytný prostor. Celková plocha k využití je cca 190 m2. Dům je nově postaven, má všechny rozvody vody, kanalizaci a elektřiny nově zbudovány, střecha je z pálených tašek, je zateplena foukanou pěnou, rovněž tak fasáda je zateplen polystyrenem. Voda je z vlastního nově vybudovaného vrtu, dům má 2 samostatné jímky na splaškovou a dešťovou vodu, kterou lze využít na zalévání zahrady. Topení je řešeno elektrickým kotlem a krbovými kamny. V 1NP je zbudováno podlahové teplovodní topení, na které lze napojit kotel s teplovodním výměníkem. Ohřev teplé vody je elektrickým bojlerem. Každá bytová jednotka má samostatný podružný elektrický měřič. Pozemek s objektem je veliký 144 m2 a je v katastru nemovitosti veden jako zastavěná plocha a nádvoří. K rodinnému domu přináleží další pozemek o velikosti 440 m2, v současnosti využívána jako zahrada, na které je pod úrovní země vybudován vinný sklípek a sklep na uskladnění ovoce a zeleniny. V případě zájmu by bylo možné přikoupit ještě další sousedící pozemek o velikosti 988 m2 vedený v katastru nemovitosti jako zahrada. Přístup k RD je z veřejné komunikace, do zadních prostor vede po samostatném parcelním čísle účelová komunikace o velikosti 338 m2, ke které v rámci kupní ceny bude kupující podílovým spoluvlastníkem ve výši 1/3. Lokalita je velmi přívětivá k bydlení, ale i k podnikání, je zde klid, ale dosah a vymoženosti veškeré infrastruktury velkoměsta. Nedaleko je zastávka MHD, hřiště, fitness, školka, hasičská zbrojnice a aktivity místních dobrovolných hasičů, cyklostezka, restaurace, obchody, nemocnice, Svatý kopeček…. Pokud budete mít zájem, tak mě neváhejte kontaktovat k prohlídce či dalším podrobnostem.","Prodej domu 190 m², Olomouc(ID 064-NP04056)",,Velmi dobrý,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415502/prodej-domu-190-m2-olomouc,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,190 m²,,,Ano,,89 m²,415502,e563234ad3a3b8afb4539e2723c08f9bb4a4619cd2aa58d0f8291562da71dcd5,,ID 064-NP04056
,2 400 m²,,"3 360 000
																		CZK/ za nemovitost",,,,"Silnice, Autobus",,Pro bydlení,,,,,"50°38'57.7""N,14°56'54.6""E",,N/A,Vodovod,,,,Čistička odpadních vod pro celý objekt,,,,,,,,,Vč. provize a právních služeb,,,,"Všelibice - VESNICE LIBERECKÉHO KRAJE ROKU 2024Hledáte místo, kde budete skutečně doma - s výhledy do krajiny, dostatkem prostoru a přírodou na dosah? Nabízíme krásný, prostorný stavební pozemek o výměře 2 400 m², který se nachází v malebné obci Všelibice, jen pár minut od Českého Dubu. Všelibice - klid a příroda u Českého ráje.Ideální pro rodinné bydlení i investiciPozemek je rovinatý, slunný a s otevřenými výhledy do okolní přírody. Jeho výměra nabízí velkorysé možnosti – ať už toužíte po prostorném rodinném domě se zahradou, nebo plánujete pozemek rozdělit na dvě samostatné stavební parcely. Podle informací z obecního úřadu je možné napojení na veřejný vodovod a vybudovat domácí čistírnu odpadních vod. Pachtovní smlouva je nyní ve výpovědní době.Život v souladu s přírodouObec Všelibice se nachází v klidné lokalitě s minimální dopravou a čistým ovzduším. Jedná se o typickou českou venkovskou krajinu, ideální pro ty, kdo hledají pokoj a prostor k žití, nebo sní o vlastní přírodní zahradě, sadu či relaxačním koutě.V okolí se nachází množství turistických i cyklistických tras, lesy, louky i výhledy na panoramata Jizerských hor a Českého ráje. Místo jako stvořené pro procházky, běh, kolo, houbaření či rodinné výlety.Naše budoucnost - dětiDěti z obce Všelibice mají možnost navštěvovat Mateřskou školu Všelibice, která je situována přímo v centru obce.Pro základní vzdělávání děti obvykle docházejí do Základní školy Hlavice, přibližně 2,5 km od Všelibic. Tato škola poskytuje vzdělání pro žáky prvního stupně a je známá svým individuálním přístupem a komunitním charakterem.Další možností je Základní škola Český Dub, vzdálená asi 8 km od Všelibic. Tato škola nabízí kompletní základní vzdělání a je dobře dostupná jak autem, tak veřejnou dopravou.Dobrá dostupnost a občanská vybavenostVšelibice leží pouhých 8 minut autem od Českého Dubu a cca 20 minut od Turnova, odkud je skvělá dostupnost do Liberce i Prahy (cca 50 min). V blízkém okolí naleznete školy, obchody, lékaře i restaurace. Samotná obec žije bohatým kulturním i komunitním životem – pořádají se zde tradiční slavnosti i farmářské trhy.Zavolejte si o více informacíTakové pozemky nejsou běžné – kombinují velkorysou výměru, výhledy, slunce a rozvojový potenciál. Zavolejte kdykoli – domluvme si nezávazné setkání. Vaše budoucí bydlení začíná právě tady.","Prodej pozemku 2400 m², Všelibice(ID 256-NP00668)",,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415549/prodej-pozemku-2400-m2-vselibice,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,Dálkový rozvod,,,,415549,f433858cafd447762e325866548f08015f09bb708ae7f6c40750d012167d9167,,ID 256-NP00668
,968 m²,,"5 500
																		CZK/ za m2",,,,Autobus,,Pro bydlení,,,230 V,,"49°17'59.5""N,16°46'22.5""E",,N/A,Elektřina,,,,,,,,,,,,,včetně odměny zprostředkovatele,,,,"Hledáte příjemné místo k bydlení na venkově nedaleko Brna? Nabízím k prodeji pozemek v okrajové části obce Bukovina, která se pro vás může stát ostrovem, kde budete bydlet, vychovávat děti, setkávat se s přáteli a prožít zde šťastný kus života.Dispozice a stav pozemkuV současné době se jedná o rovinatou parcelu (celkem 968 m2), která je z větší části oplocená a je využívaná jako zahrada s ovocnými stromy a se záhony, není vnitřní oplocení se sousedním pozemkem vpravo. Nabízený pozemek má téměř pravidelný tvar o rozměrech zhruba 33x 33 m, jedná se o pozemek p.č. 533 a nachází se v severním cípu obce. Na pozemku se nachází dřevěná zahradní chatka (ZP 15 m2). Zahrada je přístupná přes pozemky ve vlastnictví obce.Dle územního plánu (ÚP) obce Bukovina leží pozemek ve stabilizovaných plochách, označených BV - plochy bydlení venkovské. Výšková regulace zástavby předpokládá výšku objektu do 1 nadzemního podlaží a obytné podkroví.Inž. sítě a zhotovené přípojky na pozemku- elektřina 230 V (přípojka s elektroměrem, podzemní vedení)- vlastní studna- možnost napojením na obecní vodovod, který je vedený v komunikaci ve vzdálenosti 50 m- likvidace splaškových odpadních vod v obci probíhá lokálně přímo u zdrojeLokalitaV sousedství pozemku se nacházejí polnosti a zahrady jiných vlastníků. Do obce je dobrá dostupnost autem / busem IDS, do Brna 22 km. V místě je základní škola (1.stupeň) pro 60 žáků s jídelnou i družinou, obchod s potravinami, dětská hřiště.Celková cena: 5.324.000 Kč (vč. odměny RK)JinéNa nemovitosti neváznou žádné zástavy ani dluhy. Pozemek je ihned k dispozici.Zavolejte mi, domluvte si prohlídku a přijeďte se podívat. Rád vás tudy provedu.","Prodej pozemku 968 m², Bukovina(ID 309-NP00430)",,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415538/prodej-pozemku-968-m2-bukovina,Okraj obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415538,3d3ff6a5dd3ae05affe416190153e1fa317ac6ba640ba0c6eb342d26c7903212,,ID 309-NP00430
,22 m²,,"360 500
																		CZK/ za nemovitost",Venkovská,,,"Vlak, Silnice, Autobus",Cihlová,,,,230 V,,"48°59'41.7""N,15°21'20.9""E",,N/A,,30. 5. 2025,,,,,,,,,,,,,,,1,"V rámci exklusivní smlouvy nabízíme k prodeji krajní cihlovou řadovou garáž o výměře 22 m², která se nachází na okraji města Slavonice, přesto jen kousíček od centra v klidné části přímo u zahrádkářské kolonie. Garáž prošla postupně kompletní rekonstrukcí.  Nové elektrické vedení je již v měděných kabelech s vlastním elektroměrem. Byla provedena nová pokládka asfaltové izolace IPA, na kterou byla položena betonová vrstva s další tekutou izolací. Kolem vnějších stěn byla položena drenážní hadice pro odvod dešťové vody od garáže. Na boční zdi uvnitř i zvenku byla nanesena nová omítka. Asi před 5 lety byla plechová střecha ošetřena novým nátěrem. Zánovní okapy jsou vyrobeny z lakovaného pozinkovaného plechu. Garáž je osazena novým plastovým okénkem. Díky pečlivé rekonstrukci je garáž ve výborném technickém stavu. V případě zájmu ji původní majitel ještě vymaluje. Na žádost kupujícího bude garáž kompletně vyklizena.Slavonice, kde se garáž nachází,  jsou jedinečnou historickou a architektonickou památkou nacházející se na pomezí Čech, Moravy a Rakouska, v samém srdci České Kanady. Město disponuje kompletní občanskou vybaveností. Jen 13 km se nachází město Dačice, obec s rozšířenou působností.","Prodej garáže 22 m², Slavonice(ID 182-NP03946)",,Dobrý,,Přízemní,"Malé objekty, garáže",https://www.remax-czech.cz/reality/detail/415539/prodej-garaze-22-m2-slavonice,Okraj obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,22 m²,,,Ano,,22 m²,415539,80684dad81fd0b627ab24de89f94af9f14d6034a3e591f7a4a666154a20c18ac,1,ID 182-NP03946
,70 m²,,"3 290 000
																		CZK/ za nemovitost",,,,,Cihlová,,,,230 V,G,"49°49'15.6""N,15°38'37.3""E",Ano,N/A,,1. 6. 2025,,,,,,53 m²,,629 m²,,,Samostatný,,,,2,"Nabízíme ke koupi rekreační chatu v Hoješíně u Sečské přehrady – v klidné lokalitě přímo u lesa, pouhých 100 metrů od vody.Chata stojí na vlastním pozemku o rozloze 629 m². Je součástí malé, nenápadné řady rekreačních domků zasazených na okraji lesa – místo, kde si zachováte soukromí a zároveň jste pár kroků od vody. Užitná plocha činí cca 70 m². K tomu náleží samostatná garáž o velikosti 19 m², aktuálně využívaná jako úložný prostor.V přízemí se nachází obývací pokoj, kuchyň, koupelna a toaleta. V podkroví je další pokoj vhodný jako ložnice.Chata je v původním stavu a je určena ke kompletní rekonstrukci. Je napojena na elektřinu, obecní vodovod a vlastní žumpu. Vytápění zajišťují kamna.Sečská přehrada je vzdálená pouze minutu chůze. Lokalita je oblíbená pro klidné prostředí, krásnou přírodu a skvělé koupání.Neváhejte mě kontaktovat pro více informací nebo prohlídku.","Prodej chaty / chalupy 70 m², Seč(ID 218-NP06489)",,Před rekonstrukcí,,Přízemní,Chaty a rekreační objekty,https://www.remax-czech.cz/reality/detail/415529/prodej-chaty-chalupy-70-m2-sec,Polosamota,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,70 m²,,Dálkový rozvod,,,53 m²,415529,70bc8df5764c2a4f49cd17874d1be60029ab13533443ffd67e511a3556933277,,ID 218-NP06489
,,,"11 500 000
																		CZK/ za nemovitost",,,,,Cihlová,,,,,B,,,N/A,,,,,,,,65 m²,,,,,Řadový,včetně realitního a právního servisu,,,1,"Hledáte unikátní bydlení, které spojuje kouzlo historické architektury s moderním komfortem? Nabízím vám jedinečnou možnost vlastnit bytovou jednotku o dispozici 4+1 v kompletně zrekonstruované budově bývalé kovárny. Tento rodinný dům prošel rozsáhlou rekonstrukcí, při které byl zachován jeho původní ráz a zároveň splněny vysoké standardy moderního bydlení.Kombinace historie a moderních prvků.Rekonstrukce respektovala původní materiály – zdivo z pálené cihly a kamene či nádherné klenuté stropy v kuchyni. Zároveň byly přidány moderní prvky, jako je zateplení systémem Porotherm 44T nebo silikonová omítka Weber, lícové cihličky, které zajistí tepelnou pohodu a energetickou úsporu. Moderní plastová okna v provedení reálného dřeva dodává charakteru stavby další výrazný prvek.Interiér, který si zamilujete.Přiznané trámy ošetřené lazurou Dulux dodávají interiéru jedinečný charakter. V ložnicích jsou dřevěné palubky s kartáčovaným povrchem. Stylová keramická dlažba v přízemí, vinylová podlaha v druhém podlaží a masivní dřevěné schodiště vytvářejí elegantní a praktický celek. Jedna koupelna se sprchovým koutem, druhá s rohovou vanou. Stylové obklady a žebříkové radiátory s elektrickou patronou zajišťují pohodlí i v chladných dnech. Designová kuchyňská linka s LED podsvícením, varnou deskou a digestoří. Připraveno pro snadnou instalaci dalších spotřebičů. Elektrické předokenní žaluzie s ovládáním Somfy – možnost ovládání přes telefon pro maximální komfort.Moderní technologie a vybavení.Tepelné čerpadlo NIBE (vzduch–voda) s teplovodním podlahovým vytápěním a možností chlazení v letních měsících. Datové zásuvky ve všech obytných místnostech, příprava pro EZS (alarm) a osvětlení. Kompletní elektroinstalace v retro stylu – zásuvky a vypínače od Kliklap.cz.Energetická úspora - nadkrokevní izolace splňující standardy pasivního domu.Zahrada oplocená poplastovaným pletivem, směrem do ulice zděný plot z původních cihel. Připraveno na instalaci elektrického pohonu pro vjezdovou bránu. Zámková dlažba kolem domu, parkovací místo pro jeden vůz. Prostorná terasa je ideální pro relaxaci nebo posezení s rodinou a přáteli.Libiš je vybavena základními službami – najdete zde školu, školku, knihovnu, sportovní zařízení i obchody. Veškerou další občanskou vybavenost zajišťují nedaleké Neratovice nebo Mělník, vzdálený pouze 10 km. Je velmi dobře dostupná díky své blízkosti k hlavní silnici č. 9 spojující Prahu a Mělník. Vynikající spojení do Prahy – autobusová zastávka 400 m, rychlík do centra Prahy přibližně za 30 minut. K nastěhování v červnu 2025.Proč právě tento byt?Spojuje historické kouzlo s moderním designem a technologiemi. Energeticky úsporné řešení zajišťuje nízké provozní náklady.Ideální lokalita s kompletní občanskou vybaveností v dosahu.Tato nemovitost je skutečně jedinečná a nabízí harmonii mezi historií a komfortem moderního bydlení. Pro více informací nebo sjednání prohlídky mě neváhejte kontaktovat!","Prodej domu 128 m², Libiš(ID 273-NP03969)",,Po rekonstrukci,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415494/prodej-domu-128-m2-libis,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,128 m²,,,,,155 m²,415494,b0c296cc43faa846ea8f5856ce6122e568e3ec4c038d78d0c398fac2f78dc68e,,ID 273-NP03969
