ID,URL,Název nemovitosti,Popis nemovitosti,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,Obrázky,listing_hash,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,Doprava,Elektřina,Ostatní rozvody,Zastavěná plocha,Typ domu,Vybaveno,Energetická náročnost budovy,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,K nastěhování,Odpad,Plyn,Rok výstavby,Telekomunikace,Voda,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Garáž,Počet parkovacích míst,Občanská vybavenost,Rok rekonstrukce,Výtah,Charakter okolní zástavby,Umístění v chráněných lokalitách,Počet podlaží pod zemí,Plocha zahrady,Plocha kanceláří,Vybavení kanceláří,Bezbariérový byt
prodej-bytu-3-kk-v-osobnim-vlastnictvi-118-m2-praha-3-vinohrady,https://www.remax-czech.cz/reality/detail/415381/prodej-bytu-3-kk-v-osobnim-vlastnictvi-118-m2-praha-3-vinohrady,"Prodej bytu 3+kk v osobním vlastnictví 118 m², Praha 3 - Vinohrady(ID 228-NP02296)","Nabízím k prodeji moderní byt 3+kk o celkové ploše 117,9 m², zahrnující podlahovou plochu 115,1 m² a sklepní kóji o velikosti 2,8 m². Byt se nachází ve 4. podlaží kompletně zrekonstruovaného secesního domu.Dům prošel citlivou rekonstrukcí s důrazem na zachování původních prvků a použití ušlechtilých přírodních materiálů, jako je dřevo, mramor, kartáčovaný bronz a sklo. Součástí vybavení jsou recepce, sauna, nový výtah a krásně upravený vnitroblok se zahradou. Celý objekt je vybaven novými špaletovými okny, bezpečnostními vchodovými dveřmi, elektronickými zvonky a zrenovovaným schodištěm.Byt je ve stavu FIT OUT, což zahrnuje nové parkety, omítky, interiérové i vchodové dveře a kompletní nové rozvody. Severní orientace poskytuje klidné výhledy do okolní zeleně.Prestižní lokalita Vinohrad zaujme vynikající dostupností (4 minuty pěší chůze na metro Flora nebo Želivského, zastávky tramvají v blízkosti domu) a kompletní občanskou vybaveností. Okolí nabízí stylové kavárny, restaurace, obchůdky i oblíbené farmářské trhy na náměstí Jiřího z Poděbrad. V blízkosti se nachází Riegrovy sady, park Grébovka, obchodní centrum Atrium Flora s kinem IMAX nebo například tenisové kurty Parukářka.Pro více informací a sjednání prohlídky mě neváhejte kontaktovat.","22 431 000
																		CZK/ za nemovitost",včetně právního servisu a provize RK,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 228-NP02296,,,,Byty,Klidná část obce,"50°04'40.2""N,14°27'55.2""E",N/A,fdb4829bacb1fa84ba4e288dab8ec0061462bb37caa7995f3e3e4b3be050b24b,,7,115 m²,,Cihlová,Po rekonstrukci,"Vlak, Dálnice, Silnice, MHD, Autobus",230 V,"Satelit, Kabelová televize, Kabelové rozvody, Ostatní rozvody",,,,C,3+kk,4,118 m²,Osobní,31. 3. 2025,Kanalizace,Plynovod,,"Telefon, Internet",Dálkový rozvod,,,,,2024,Ano,Obytná,,1,,,,
prodej-bytu-2-1-v-osobnim-vlastnictvi-54-m2-kladno,https://www.remax-czech.cz/reality/detail/415374/prodej-bytu-2-1-v-osobnim-vlastnictvi-54-m2-kladno,"Prodej bytu 2+1 v osobním vlastnictví 54 m², Kladno(ID 254-NP00788)","Exkluzivně nabízím k prodeji vybavený byt 2+1 s balkonem v kladenském Rozdělově v Petrohradské ulici.Byt se nachází ve 3. patře zatepleného cihlového domu. Obývací pokoj s balkonem a ložnice jsou orientovány jižním směrem, kuchyně a koupelna s WC jsou orientovány na sever. K bytu náleží 2 zděné sklepy. Celková plocha bytu včetně balkonu a sklepů je 54 m2.Byt je ve velmi dobrém stavu. Součástí bytu je nová kuchyňská linka, která je vybavena plynovým sporákem s elektrickou troubou a myčkou. V obytných místnostech a kuchyni s jídelnou je plovoucí podlaha, v koupelně a na chodbě je dlažba. Koupelna je po rekonstrukci, je zde prostorný sprchový kout, umyvadlo WC, a vlastní boiler. V koupelně je podlahové elektrické vytápění. Bytový dům má nové zvětšené balkony, na kterých je dostatek prostoru pro posezení. Na oknech v kuchyni, obývacím pokoji a ložnici jsou namontované elektrické rolety, které zvyšují komfort celého bytu. Byt se prodává včetně většiny vybavení, bude upřesněno po dohodě.Bytový dům se nachází v části Kladno – Rozdělov. Parkování je možné v těsné blízkosti domu. V okolí domu je kompletní občanská vybavenost, škola, školka, obchody, nemocnice, pošta. Naleznete zde také dětská hřiště, oblíbené koupaliště, aquapark na Sletišti a jiná sportovní zařízení. V blízkosti domu je autobusová zastávka a vlaková stanice s nově vybudovanou rychlodráhou končící ve stanici Praha Dejvice. Po dálnici D7 se automobilem do Prahy dostanete do 20 min. Lokalita nabízí dostatek zeleně, v nedalekém lesoparku si přijdou na své také milovníci cyklistiky, in-line bruslení či turistiky.Domluvte si prohlídku ještě dnes, rád Vás osobně provedu.S financováním Vám pomůže náš hypoteční specialista.","4 990 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 254-NP00788,,,,Byty,Klidná část obce,"50°08'22.4""N,14°04'45.4""E",N/A,041e729867276c908f28898d4a80b526abd78ab7cf1bf6c14472afd1f16a84da,,4,49 m²,,Smíšená,Velmi dobrý,,230 V,,686 m²,,Ano,C,2+1,3,54 m²,Osobní,,Kanalizace,Plynovod,,,Dálkový rozvod,106,,,,,,,,,,,,
prodej-pozemku-1030-m2-nezdenice,https://www.remax-czech.cz/reality/detail/415409/prodej-pozemku-1030-m2-nezdenice,"Prodej pozemku 1030 m², Nezdenice(ID 268-NP03061)","Exkluzivně nabízíme k prodeji hezký rovinatý pozemek (označen ""C"") o výměře 1030 m² v obci Nezdenice.Pozemek má obdélníkový tvar a je ideální pro výstavbu rodinného domu. Velkou výhodou této nabídky je, že cena zahrnuje nejen samotný pozemek, ale také vybudování příjezdové cesty a připojení na elektřinu a kanalizaci. Pozemek se nachází v klidné lokalitě s dobrou dostupností a nabízí příjemné prostředí pro bydlení i rekreaci. Pokud hledáte místo pro svůj nový domov nebo zajímavou investici, neváhejte mě kontaktovat pro více informací.Nezdenice jsou obec v okrese Uherské Hradiště ve Zlínském kraji. Žije zde přes 700 obyvatel.Obec leží 8 km od Uherského Brodu, 19 km od Luhačovic.","2 060 000
																		CZK/ za nemovitost",Uvedená cena je konečná. Provizi RK platí prodávající,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 268-NP03061,Pro bydlení,1 030 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,,N/A,f0849902d47a232e79a5f8cf01a15ef75412f6991001d4669913e614f5e64c5d,,,,,,,,"230 V, 400 V",Kabelová televize,,,,,,,,,1. 7. 2025,Kanalizace,,,Internet,,,,,,,,,,,,,,
prodej-pozemku-1277-m2-nezdenice,https://www.remax-czech.cz/reality/detail/415408/prodej-pozemku-1277-m2-nezdenice,"Prodej pozemku 1277 m², Nezdenice(ID 268-NP03060)","Exkluzivně nabízíme k prodeji hezký rovinatý pozemek (označen ""D"") o výměře 1277 m² v obci Nezdenice.Pozemek má obdélníkový tvar a je ideální pro výstavbu rodinného domu. Velkou výhodou této nabídky je, že cena zahrnuje nejen samotný pozemek, ale také vybudování příjezdové cesty a připojení na elektřinu a kanalizaci. Pozemek se nachází v klidné lokalitě s dobrou dostupností a nabízí příjemné prostředí pro bydlení i rekreaci. Pokud hledáte místo pro svůj nový domov nebo zajímavou investici, neváhejte mě kontaktovat pro více informací.Nezdenice jsou obec v okrese Uherské Hradiště ve Zlínském kraji. Žije zde přes 700 obyvatel.Obec leží 8 km od Uherského Brodu, 19 km od Luhačovic.","2 554 000
																		CZK/ za nemovitost",Uvedená cena je konečná. Provizi RK platí prodávající,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 268-NP03060,Pro bydlení,1 277 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,,N/A,dce5b1c3ec861a6507e8b7735e348c0024408e1c3a287ff0fa1b0d4e1e3dabe9,,,,,,,,"230 V, 400 V",Kabelová televize,,,,,,,,,1. 7. 2025,Kanalizace,,,Internet,,,,,,,,,,,,,,
prodej-bytu-2-1-v-druzstevnim-vlastnictvi-70-m2-prachatice,https://www.remax-czech.cz/reality/detail/415363/prodej-bytu-2-1-v-druzstevnim-vlastnictvi-70-m2-prachatice,"Prodej bytu 2+1 v družstevním vlastnictví 70 m², Prachatice(ID 182-NP03942)","Ve výhradním zastoupení majitele nabízíme k prodeji bytovou jednotku 2+1 s příslušenstvím, ul. Pivovarská, Prachatice.Bytová jednotka se nachází ve 2. patře/2. patrového zděného domu. Bytový dům je vystavěn v blízkosti centra města. Okna bytu jsou situována do zahrady, mimo hlavní komunikaci, což zaručuje klid a soukromí, které potrhuje umístění bytu v domě, kdy nad bytem je již půda, tudíž žádný hluk od sousedů.Byt 2+1 s podlahovou plochou 62,50 m2 je po kompletní a nákladné rekonstrukci. Při rekonstrukci se kladl důraz nejen na použité materiály, ale zároveň na stavební práce a dílenské zpracování celé rekonstrukce. Velká okna v bytě zajišťují světelný komfort.Dva samostatné pokoje jsou neprůchozí. Kuchyně s jídelnou, kuchyňská linka vč. spotřebičů. Větší koupelna, samostatná toaleta s umývátkem, dále praktická komora s tech. místností.K bytu náleží sklep a kůlna, která je umístěna na společné zahradě. Je zde možnost spoluužívání půdy a zahrady u domu, která má výměru cca 280 m2.Vytápění bytu zajištuje elektrokotel, nebo krbová kamna s výměníkem, která podtrhují útulnost bydlení a zároveň můžou být plnohodnotným topidlem.Velmi příznivé měsíční náklady na provoz bytu!Doporučujeme prohlídku! V případě zájmu kontaktujte makléře nabídky.Výhodné financování vyřídíme zcela zdarma.","3 920 000
																		CZK/ za nemovitost",vč. všech realitních a právních služeb,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 182-NP03942,,,,Byty,Centrum obce,"49°00'56.7""N,13°59'54.9""E",N/A,6675f562ec39f91c1c704790acf6ff434f6854d4838a7fc2357d86dc1b150763,,3,62 m²,,Smíšená,Dobrý,,,,429 m²,,,G,2+1,3,70 m²,Družstevní,,Kanalizace,,,,Dálkový rozvod,,,,,,,,,,280 m²,,,
prodej-pozemku-638-m2-kluky,https://www.remax-czech.cz/reality/detail/415275/prodej-pozemku-638-m2-kluky,"Prodej pozemku 638 m², Kluky(ID 261-NP01082)","Nabízím Vám ke koupi velmi atraktivní stavební pozemek o výměře 638 m2 v obci Kluky u Písku.Pozemek se nachází na okraji obce a je určen pro výstavbu rodinného domu se sedlovou střechou k trvalému bydlení, nebo pro rekreaci. V současné době je pozemek veden jako trvalý travní porost, ale dle Územního plánu obce je určen k zastavění (plocha smíšená obytná). V této oblasti se jedná o jednu ze dvou posledních nezastavěných parcel.Na pozemek přímo navazuje další volná stavební parcela na prodej. Možno pořídit jako jeden celek o ploše 1316 m2. Na druhý pozemek je přivedena elektřina. Skvělá investiční příležitost.Nabízený pozemek má získané povolení na připojení k obecní kanalizaci i vodovodu. Pozemek má nově i udělení stavebního povolení na realizaci vlastní studny na nabízeném pozemku. Pozemek je přístupný po zpevněné obecní komunikaci. Je dlouhodobě udržovaný, zatravněný a nachází se na něm pouze jeden strom. Hranice pozemku je geodeticky označena a z části ohraničena sousedním plotem.Pozemek se nachází v dojezdové vzdálenosti do 15 minut od města Písek a 5 minut od hlavního tahu mezi Pískem a Táborem. V obci kluky je obyvatelům k dispozici obchod s potravinami, základní i mateřská škola, pošta, lékař a další základní občanská vybavenost.Pro více informací o pozemku kontaktujte makléřku nabídky!","1 148 400
																		CZK/ za nemovitost",S financováním Vám rádi pomůžeme!,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 261-NP01082,Pro bydlení,638 m²,"Vodovod, Kanalizace",Pozemky,Klidná část obce,"49°19'03.2""N,14°14'31.4""E",N/A,ec15d82113af2cfa7f7871110d330e53c10273b0f46adb310fbb7679e95c5ac5,,,,,,,"Dálnice, Silnice, Autobus",230 V,,,,,,,,,,27. 5. 2025,Kanalizace,,,,Dálkový rozvod,,,,"Škola, Školka, Zdravotnická zařízení, Pošta, Supermarket",,,,,,,,,
prodej-apartmanu-280-m2-moravsky-beroun,https://www.remax-czech.cz/reality/detail/415325/prodej-apartmanu-280-m2-moravsky-beroun,"Prodej apartmánu 280 m², Moravský Beroun(ID 133-NP02421)","Prvorepubliková vila s noblesou , duchem historie  a aristokratickým šarmem– Moravský BerounV srdci Moravského Berouna, v jedné z nejklidnějších a nejprestižnějších lokalit, se majestátně tyčí prvorepubliková vila, jejíž architektura a atmosféra nesou ducha zlaté éry českého stavitelství.Tato výjimečná rezidence, situovaná na rozlehlém pozemku o velikosti 1160 m², je celá osázena vzrostlými stromy, které poskytují absolutní soukromí a vytvářejí okouzlující zelené zákoutí pro ničím nerušený odpočinek.Po vstupu do této noblesní vily vás přivítá velkolepá vstupní hala, která již na první pohled zaujme svou velkorysostí a autentickými dobovými prvky. Široké dřevěné schodiště, pečlivě vyřezávané mistry své doby, vás provede patrem, kde se nacházejí prostorné, světlé pokoje s nádechem aristokratické atmosféry.V přízemí se nachází elegantní obývací salón, jehož součástí je jídelní kout umístěný v útulném výklenku, odkud se otevírá pohled na kachlová krbová kamna – pravé srdce domova, které zve k posezení a chvílím pohody. Na obývací část plynule navazuje další prostorný pokoj, který si zachoval svůj původní šarm a lze jej využít jako pracovnu či reprezentativní salon. Další samostatný pokoj má rovněž své kouzlo.Kuchyně, navržená s důrazem na praktičnost i historickou estetiku, disponuje přilehlou spíží. Celkovou atmosféru dokresluje slunná veranda, která se otevírá do půvabné zahrady a nabízí kouzelné výhledy do náruče přírody.Vila si zachovala mnoho původních architektonických skvostů, včetně dobové dlažby, originálních kastlíkových oken a dalších mistrovských řemeslných detailů, které podtrhují její historickou hodnotu a noblesní charakter.ato vila není jen domem – je stylovým odkazem doby, kdy elegance a kvalita byly samozřejmostí. Je ideální volbou pro ty, kteří hledají reprezentativní bydlení s historií, nebo pro náročného investora, který umí ocenit půvab klasické architektury v kombinaci s moderními možnostmi citlivé rekonstrukce.Součástí této jedinečné nemovitosti je samostatná garáž.Tato vila není pouhým domovem – je mementem doby, kdy elegance a kvalita stály na prvním místě. Je ideální volbou pro ty, kteří touží po vznešeném bydlení s duší historie, avšak s možností citlivé modernizace.Moravský Beroun je malebné město obklopené krásnou přírodou Nízkého Jeseníku, ideální pro klidné bydlení i aktivní odpočinek. Město nabízí veškerou občanskou vybavenost – školy, obchody, lékaře i sportoviště – a přitom si uchovává příjemnou atmosféru menšího města.Skvělou výhodou je také dobré dopravní spojení do Opavy, Olomouce i Ostravy.  Milovníci přírody, turistiky a cyklistiky si zde přijdou na své díky blízkosti lesů, kopců i čistého ovzduší.Přijměte srdečné pozvání na osobní prohlídku této výjimečné nemovitosti. Objevte místo, kde se snoubí historie, elegance a prostor pro nový příběh. ✨✨Jitka FröhlichováVaše realitní makléřka pro tuto oblast","5 900 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 133-NP02421,,280 m²,,Komerční prostory,Klidná část obce,,N/A,db932aed221093d98d90cea4ba252186f6c890e6d6fa689cfe5b504e5a2466ef,,2,,,Cihlová,Velmi dobrý,,230 V,,199 m²,Patrový,Ano,G,,,,,,,,,,Dálkový rozvod,,Ano,,,,,,,,961 m²,280 m²,Ano,
prodej-bytu-1-1-v-osobnim-vlastnictvi-38-m2-jablonec-nad-nisou,https://www.remax-czech.cz/reality/detail/415260/prodej-bytu-1-1-v-osobnim-vlastnictvi-38-m2-jablonec-nad-nisou,"Prodej bytu 1+1 v osobním vlastnictví 38 m², Jablonec nad Nisou(ID 020-NP10218)","✅ Menší útulný byt 1+1 v pěkném stavu je na prodej.✅ Výhody bytu:1) pěkný byt ve velmi dobrém stavu ihned k bydlení2) klidná lokalita nedaleko od vodní nádrže Mšeno3) nízké měsíční platby4) parkování před domem✅ Hlavními dveřmi vstoupíte do chodby, kde vlevo jsou šatní skříně, vpravo jsou dveře do koupelny s menší vanou, umyvadlem, WC a místem na pračku. Čelně je vchod do prostorné kuchyně s linkou a plynovým sporákem. V kuchyni najdete dost místa pro jídelní stůl, chladničku a další vybavení nebo si zde vytvoříte obývák s kuchyňským koutem. Z kuchyně vlevo vejdete do velkého pokoje, kde máte dost místa na sedací soupravu, skříně i dvoulůžko.✅ Podlahová plocha bytové jednotky je 37,7 m² z toho sklepní kóje má cca 2 m².Byt prošel rekonstrukcí a má vyzděné bytové jádro s novou koupelnou a kuchyňskou linkou. Bytový dům má zateplenou fasádu a okna jsou nová plastová.Bytová jednotka je v 5. patře panelového domu s výtahem.Náklady na správu bytu vychází velmi příznivě na 1649 Kč/měsíc. Z toho fond oprav je 1320 Kč měsíčně.Výhodné financování vám pomůžeme zajistit.✅ Domluvte si u mne prohlídku a přesvědčte se, že jde o výhodnou příležitost pro vlastní bydlení nebo na investici.","2 599 000
																		CZK/ za nemovitost",vč. provize a právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 020-NP10218,,,,Byty,Klidná část obce,"50°43'60""N,15°11'12.4""E",N/A,ee8cd9d4b3d13c6ab3a4d8a565da798036c00254b02410952c43dde7cebc4c57,,9,36 m²,,Panelová,Velmi dobrý,"Vlak, Silnice, MHD, Autobus",230 V,,438 m²,,Ano,G,1+1,5,38 m²,Osobní,27. 5. 2025,Kanalizace,Plynovod,,,Dálkový rozvod,,,,,,Ano,,,1,,,,
prodej-domu-72-m2-uhlirske-janovice,https://www.remax-czech.cz/reality/detail/415182/prodej-domu-72-m2-uhlirske-janovice,"Prodej domu 72 m², Uhlířské Janovice(ID 059-NP07529)","V exkluzivním zastoupení Vám nabízíme prodej rodinného domu v Uhlířských Janovicích, o dispozici 2+1, na rovinatém pozemku 427m² v obci Uhlířské Janovice.Součástí domu je útulný obývací pokoj 16,97m² s krbovými kamny pro příjemné chvíle odpočinku, ložnice 10,58m², kuchyně 9,05m², koupelna s WC 7,55m² a prostorná garáž 22,66m², která nabízí dostatek místa nejen pro pohodlné parkování automobilu, ale i jako ideální prostor pro dílnu nebo sklad.Rodinný dům je napojen na obecní vodovod, má přípojku na kanalizaci a lze připojit na plyn z veřejné komunikace. Součástí objektu je i studna pro zavlažování zahrady.Dům je v udržovaném stavu, před rekonstrukcí. Proběhla výměna oken za nová, zateplení podlahy. Stav nemovitosti vám poskytuje možnost pokračovat v rekonstrukci podle vlastních představ. Nábytek není součástí prodeje.Uhlířské Janovice jsou malebné město ve Středočeském kraji, ležící přibližně 17km jihozápadně od Kutné Hory, asi 19 km jihozápadně od Kolína a cca 20km od dálnice D1. Nabízejí svým obyvatelům širokou škálu občanské vybavenosti - mateřská a základní škola, zdravotní středisko, obchody, kulturní a sportovní využití.Pokud máte zájem o prohlídku nebo další informace, neváhejte mě kontaktovat.","3 350 000
																		CZK/ za nemovitost",cena včetně provize a kompletního právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 059-NP07529,,,,Domy a vily,Klidná část obce,"49°52'40.9""N,15°04'05.2""E",N/A,d1f1fd90f57587e933618edbaf865550bc12148a16bcca1b1a868f26e373760b,Samostatný,1,72 m²,427 m²,Smíšená,Před rekonstrukcí,"Vlak, Silnice, Autobus",230 V,,105 m²,Přízemní,,G,,,,,1. 7. 2025,Kanalizace,,,,Dálkový rozvod,,Ano,,,,,Obytná,,,,,,
prodej-chaty-chalupy-50-m2-stary-plzenec,https://www.remax-czech.cz/reality/detail/415264/prodej-chaty-chalupy-50-m2-stary-plzenec,"Prodej chaty / chalupy 50 m², Starý Plzenec(ID 003-NP04663)","Hledáte místo k rekreaci případně i k bydlení v klidném prostředí? Podívejte se prosím na tuto nabídku. Předmětem prodeje je chata na okraji Starého Plzence pod hradem Radyně. Vzdálenost od Plzně je cca 10 km. Zastavěná plocha je 57 m2 a celková plocha pozemku je 859 m2. Na pozemek se zajíždí dálkově ovládanou vjezdovou branou. Chata je zděná, celkově podsklepená a je do ní zavedená elektřina. Je napojená na obecní vodovod, ale je možné využívat i společnou studnu. Odpad je sveden do septiku. Chata je vybavena WC, sprchovým koutem, kuchyňskou linkou se základními spotřebiči, klimatizací a je vytápěna krbovými kamny. Pro příjem TV je na střeše satelit a WI-FI připojení poskytuje místní firma Mraknet. Dispoziční uspořádání naleznete ve fotogalerii. Na zahradě je částečně zapuštěný, tepelným čerpadlem vyhřívaný bazén s filtrací, terasa s krbem a pergola. Za vjezdem jsou dva kontejnery z kterých majitel chtěl udělat garáž, ale mohou být využity i jiným způsobem. V případě zájmu o prohlídku mě neváhejte kontaktovat.","4 990 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 003-NP04663,,50 m²,,Chaty a rekreační objekty,Klidná část obce,"49°41'36.2""N,13°27'41""E",N/A,b365ef0ef060c7da948afc14ff0d2044a910d5edafa4923cf9478060549c17fb,Samostatný,,50 m²,57 m²,Cihlová,Dobrý,,,,57 m²,Přízemní,Ano,G,,,,,27. 5. 2025,,,,,,,,,,,,Rekreační,,1,802 m²,,,
prodej-bytu-4-kk-v-osobnim-vlastnictvi-128-m2-ceske-budejovice,https://www.remax-czech.cz/reality/detail/415331/prodej-bytu-4-kk-v-osobnim-vlastnictvi-128-m2-ceske-budejovice,"Prodej bytu 4+kk v osobním vlastnictví 128 m², České Budějovice(ID 343-NP00429)","Ve výhradním zastoupení majitele vám nabízíme ke koupi moderní a výjimečný byt 4+kk o celkové ploše 128,16 m², který se nachází ve vyhledávané, klidné lokalitě nedaleko centra Českých Budějovic. Byt v osobním vlastnictví je situován v obytné zástavbě s příjemnou atmosférou a nabízí nadstandardní zázemí pro komfortní rodinné bydlení.Dispozice bytu je promyšlená s důrazem na funkčnost a pohodlí.Přes prostornou předsíň (14,37 m²) se dostanete do všech částí bytu.Dominantou je otevřený obytný prostor (32,8 m²) propojující kuchyni, jídelní kout a obývací pokoj – ideální místo pro rodinné setkávání i každodenní život. Kuchyňská linka na míru je vybavena vestavnými spotřebiči, které jsou součástí prodeje.Z obývací části je vstup na prostornou terasu (22 m²), orientovanou do vnitrobloku, která nabízí klidné místo pro relaxaci i posezení s přáteli.Byt dále disponuje třemi samostatnými neprůchozími ložnicemi (9,95 m², 19,03 m² a 16,79 m²), zajišťující dostatek soukromí a prostoru pro každého člena domácnosti.K dispozici je také samostatná šatna/komora (5,25 m²), moderní koupelna (4,94 m²) a oddělené WC (1,35 m²).Praktický sklep (4,1 m²) umístěný na stejném patře zajišťuje další úložný prostor.Součástí pokoje na jih je také klimatizace, kterou oceníte zejména během letních měsíců.K bytu lze přikoupit prostornou garáž (22,96 m²) umístěnou v suterénu domu. Cena garáže při koupi spolu s bytem činí 980.000 Kč.Soukromou, společně užívanou a udržovanou zahradu s prvky pro hry dětí a váš odpočinek ocení nejen rodiny s dětmi.Lokalita nabízí veškerou občanskou vybavenost v docházkové vzdálenosti – školy, školky, lékaře, poštu, obchody (OC IGY), MHD i cyklostezky podél Vltavy.Místo je ideální pro rodiny s dětmi i pro ty, kteří hledají klidné bydlení s rychlou dostupností do centra města.Shrnutí:4+kk, 128,16 m²terasa, balkon, sklepmožnost garážeklidná a dobře dostupná lokalitaNízké měsíční náklady, které vám rádi sdělíme při osobním jednání.Možnost financování hypotečním úvěrem – s vyřízením rádi pomůžeme.Uvedené informace mají informativní charakter a nejsou závazné.V případě více zájemců si majitel vyhrazuje právo výběru nejvýhodnější nabídky.Neváhejte nás kontaktovat pro více informací nebo sjednání prohlídky.Těšíme se na setkání s vámi!","9 980 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 343-NP00429,,,,Byty,,"48°59'11.9""N,14°28'25.6""E",N/A,b98c03535a3288d05f4a2e8cf376aeac3407e84ecd18b1fbd17f55099868ea87,,6,104 m²,,Cihlová,Velmi dobrý,"Vlak, Silnice, MHD, Autobus","230 V, 400 V",,2 495 m²,,,C,4+kk,2,128 m²,Osobní,,Kanalizace,Plynovod,,Internet,Dálkový rozvod,66,Ano,,,,Ano,Obytná,,1,,,,Ano
prodej-chaty-chalupy-31-m2-krimov,https://www.remax-czech.cz/reality/detail/415345/prodej-chaty-chalupy-31-m2-krimov,"Prodej chaty / chalupy 31 m², Křimov(ID 273-NP03963)","Nabízíme k prodeji útulnou chatu s užitnou plochou 31 m² a nádvořím o velikosti 50 m², situovanou na pozemku o celkové rozloze 786 m². Nemovitost je v osobním vlastnictví a je možné ji financovat hypotečním úvěrem.Nabízíme k prodeji útulnou chatu s užitnou plochou 31 m², terasou o výměře 10 m² a nádvořím o velikosti 50 m². Celková plocha pozemku činí 786 m². Nemovitost je v osobním vlastnictví a je možné ji financovat hypotečním úvěrem.Chatu je částečně podsklepená a díky krbovým kamnům a elektrickému vytápění je vhodná i k celoročnímu bydlení. K dispozici je bojler na ohřev vody, elektřina, kopaná studna a odpad je řešen septikem.Nachází se ve velmi klidné a příjemné lokalitě – ideální místo pro odpočinek, víkendové pobyty i trvalé bydlení v blízkosti přírody.V případě zájmu mě neváhejte kontaktovat pro více informací nebo domluvení prohlídky.","2 790 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 273-NP03963,,31 m²,,Chaty a rekreační objekty,Klidná část obce,,N/A,b579d5cda734520faff612e01ddd990a367a922eecef94d6d0fd3241c8784b49,Samostatný,1,31 m²,786 m²,Dřevěná,Dobrý,,"230 V, 400 V",,50 m²,Přízemní,,,,,,,,Septik,,,,,,,,,,,,,,,,,
